一毛不拔
一丘之貉
天衣無縫
囫圇吞棗
杞人憂天
班門弄斧
掩耳盜鈴
朝三暮四
竭澤而漁
水落石出
名落孫山
江郎才盡
青出於藍
指鹿為馬
胸有成竹
舉一反三
一敗塗地
口若懸河
司空見慣
如火如荼
老馬識途
作法自斃
含沙射影
投筆從戎
夜郎自大
東窗事發
狐假虎威
信口雌黃
南轅北轍
為虎作倀
狼狽為奸
草木皆兵
望梅止渴
畫蛇添足
勢如破竹
滄海桑田
驚弓之鳥
一鼓作氣
一鳴驚人
一暴十寒
入木三分
不學無術
功虧一簣
四面楚歌
打草驚蛇
守株待兔
走馬看花
刻舟求劍
奇貨可居
東山再起
杯弓蛇影
後來居上
負荊請罪
破鏡重圓
紙上談兵
揠苗助長
對牛彈琴
樂不思蜀
濫竽充數
一日千里
一諾千金
一竅不通
出奇制勝
出類拔萃
如坐針氈
死灰復燃
吹毛求疵
坐井觀天
投鼠忌器
咄咄逼人
孤注一擲
易如反掌
門可羅雀
食古不化
病入膏肓
庸人自擾
推心置腹
趾高氣揚
唾面自乾
痛心疾首
滄海一粟
緣木求魚
蕭規曹隨
膾炙人口
螳臂當車
騎虎難下
攀龍附鳳
一言九鼎
不共戴天
水深火熱
世外桃源
出爾反爾
未雨綢繆
目不識丁
先發制人
妄自尊大
百折不撓
老當益壯
耳濡目染
自相矛盾
扶搖直上
言不由衷
車水馬龍
車載斗量
孤陋寡聞
孤掌難鳴
杯水車薪
歧路亡羊
拾人牙慧
洛陽紙貴
風聲鶴唳
乘風破浪
剛愎自用
退避三舍
假公濟私
偃旗息鼓
得心應手
敝帚自珍
閉門造車
飲鴆止渴
滿城風雨
滿腹經綸
燃眉之急
舉案齊眉
雙管齊下
一視同仁
一網打盡
一籌莫展
土崩瓦解
大義滅親
大器晚成
不可救藥
不倫不類
不恥下問
不脛而走
天經地義
心猿意馬
手舞足蹈
水到渠成
水滴石穿
半途而廢
瓜田李下
甘拜下風
名不虛傳
因勢利導
因噎廢食
如魚得水
曲突徙薪
有備無患
作威作福
吳牛喘月
弄巧成拙
忍辱負重
束之高閣
芒刺在背
見異思遷
兔死狗烹
兩袖清風
居安思危
拋磚引玉
抱薪救火
明目張膽
明察秋毫
東施效顰
河東獅吼
炙手可熱
空中樓閣
臥薪嘗膽
虎頭蛇尾
門庭若市
前倨後恭
南柯一夢
按圖索驥
故步自封
流芳百世
畏首畏尾
借花獻佛
笑裡藏刀
草菅人命
強弩之末
從善如流
排難解紛
望塵莫及
殺身成仁
眾志成城
莫逆之交
袖手旁觀
雪中送炭
喪心病狂
無地自容
買櫝還珠
越俎代庖
開門見山
愛屋及烏
群策群力
落井下石
蜀犬吠日
過河拆橋
管中窺豹
裹足不前
賓至如歸
噤若寒蟬
戰戰兢兢
矯枉過正
一見如故
一揮而就
一絲不苟
一意孤行
一塵不染
八面玲瓏
力不從心
三令五申
口蜜腹劍
大公無私
小巫見大巫
山窮水盡
不求甚解
不速之客
不寒而慄
中流砥柱
五體投地
天花亂墜
文過飾非
功敗垂成
民不聊生
休戚相關
仰人鼻息
再接再厲
危如累卵
同舟共濟
妄自菲薄
安步當車
汗牛充棟
百發百中
自作自受
自慚形穢
自暴自棄
別出心裁
別開生面
尾大不掉
投鞭斷流
肝膽相照
乳臭未乾
事半功倍
姍姍來遲
披星戴月
抱殘守缺
明日黃花
明哲保身
枕戈待旦
泥牛入海
沾沾自喜
虎口餘生
迎刃而解
青梅竹馬
青黃不接
非驢非馬
怒髮衝冠
急如星火
按部就班
相敬如賓
背道而馳
重整旗鼓
風馬牛不相及
家喻戶曉
旁若無人
格格不入
海市蜃樓
高枕無憂
強詞奪理
得意忘形
得隴望蜀
欲蓋彌彰
脣亡齒寒
短兵相接
開卷有益
開門揖盜
開誠布公
勢不兩立
愚公移山
對症下藥
撲朔迷離
數典忘祖
熟能生巧
錦上添花
罄竹難書
臨渴掘井
舉足輕重
鞭長莫及
鶴立雞群
一知半解
一氣呵成
一針見血
一落千丈
九牛一毛
三緘其口
口是心非
大發雷霆
才高八斗
不入虎穴，焉得虎子
不毛之地
井井有條
井底之蛙
五十步笑百步
六神無主
分道揚鑣
匹夫之勇
毛遂自薦
水乳交融
水泄不通
以訛傳訛
包藏禍心
四海為家
外強中乾
巧取豪奪
平步青雲
本末倒置
生吞活剝
因陋就簡
曲高和寡
老生常談
自怨自艾
克紹箕裘
否極泰來
孜孜不倦
完璧歸趙
岌岌可危
忍氣吞聲
投桃報李
良莠不齊
見獵心喜
防微杜漸
兩全其美
兩敗俱傷
夜以繼日
招搖過市
欣欣向榮
沽名釣譽
盲人摸象
空前絕後
虎視眈眈
初出茅廬
信口開河
前功盡棄
急流勇退
怨天尤人
怨聲載道
指桑罵槐
既往不咎
赴湯蹈火
面面相覷
食言而肥
倒行逆施
差強人意
笑容可掬
高朋滿座
寄人籬下
張冠李戴
從容不迫
望眼欲穿
梁上君子
殺雞取卵
魚目混珠
喋喋不休
揮金如土
畫龍點睛
痛定思痛
開源節流
飲水思源
嗤之以鼻
滄海遺珠
當頭棒喝
萬籟俱寂
節外生枝
腳踏實地
旗鼓相當
聞雞起舞
暴虎馮河
樂不可支
談虎色變
請君入甕
駕輕就熟
鴉雀無聲
曇花一現
興高采烈
黔驢技窮
聲東擊西
舉棋不定
禮尚往來
爐火純青
觸類旁通
鐵面無私
一刀兩斷
一介不取
一日三秋
一目十行
一字千金
一舉兩得
七上八下
九死一生
人云亦云
人面桃花
人面獸心
力透紙背
三長兩短
三思而行
上下其手
上行下效
亡羊補牢
口碑載道
大逆不道
寸草春暉
小心翼翼
川流不息
不足掛齒
不翼而飛
不識時務
升堂入室
天涯海角
天造地設
心不在焉
心心相印
心花怒放
心照不宣
心腹之患
心曠神怡
手不釋卷
日薄西山
毛骨悚然
出人頭地
出生入死
失之交臂
左右逢源
正襟危坐
永垂不朽
生靈塗炭
白駒過隙
目中無人
石破天驚
亦步亦趨
先聲奪人
冰消瓦解
名副其實
如數家珍
如膠似漆
守口如瓶
成竹在胸
汗流浹背
自投羅網
伯仲之間
克勤克儉
兵不血刃
利令智昏
坐以待斃
忘恩負義
束手無策
步步為營
